T 27.30 C  RH 39.28 %  Light 2.4 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31092/15538)
T 27.29 C  RH 39.27 %  Light 2.4 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31085/15531)
T 27.30 C  RH 39.25 %  Light 2.4 lux  P 948.65 hPa  VOC 94  NOx 1  (raw 31077/15533)
T 27.29 C  RH 39.25 %  Light 2.4 lux  P 948.66 hPa  VOC 94  NOx 1  (raw 31081/15531)
T 27.31 C  RH 39.23 %  Light 2.4 lux  P 948.65 hPa  VOC 95  NOx 1  (raw 31083/15534)
T 27.29 C  RH 39.23 %  Light 2.4 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31087/15534)
T 27.30 C  RH 39.22 %  Light 2.3 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31087/15534)
T 27.29 C  RH 39.20 %  Light 2.4 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31081/15526)
T 27.32 C  RH 39.25 %  Light 2.3 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31092/15541)
T 27.29 C  RH 39.24 %  Light 2.3 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31085/15536)
T 27.28 C  RH 39.20 %  Light 2.3 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31090/15533)
T 27.29 C  RH 39.23 %  Light 2.3 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31085/15541)
T 27.31 C  RH 39.21 %  Light 2.3 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31086/15536)
T 27.30 C  RH 39.27 %  Light 2.3 lux  P 948.65 hPa  VOC 95  NOx 1  (raw 31087/15539)
T 27.30 C  RH 39.24 %  Light 2.3 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31087/15534)
T 27.30 C  RH 39.27 %  Light 2.2 lux  P 948.65 hPa  VOC 95  NOx 1  (raw 31081/15538)
T 27.29 C  RH 39.26 %  Light 2.3 lux  P 948.66 hPa  VOC 95  NOx 1  (raw 31094/15539)
T 27.30 C  RH 39.24 %  Light 2.2 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31094/15532)
T 27.30 C  RH 39.21 %  Light 2.2 lux  P 948.62 hPa  VOC 95  NOx 1  (raw 31086/15540)
T 27.29 C  RH 39.26 %  Light 2.2 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31090/15538)
T 27.32 C  RH 39.27 %  Light 2.2 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31097/15539)
T 27.29 C  RH 39.23 %  Light 2.2 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31096/15535)
T 27.28 C  RH 39.25 %  Light 2.2 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31088/15536)
T 27.30 C  RH 39.24 %  Light 2.2 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31079/15541)
T 27.30 C  RH 39.24 %  Light 2.2 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31085/15539)
T 27.29 C  RH 39.23 %  Light 2.1 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31090/15538)
T 27.28 C  RH 39.24 %  Light 2.1 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31091/15540)
T 27.28 C  RH 39.25 %  Light 2.1 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31098/15536)
T 27.31 C  RH 39.27 %  Light 2.1 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31105/15543)
T 27.28 C  RH 39.32 %  Light 2.1 lux  P 948.63 hPa  VOC 96  NOx 1  (raw 31087/15548)
T 27.28 C  RH 39.29 %  Light 2.1 lux  P 948.63 hPa  VOC 96  NOx 1  (raw 31100/15543)
T 27.31 C  RH 39.27 %  Light 2.1 lux  P 948.63 hPa  VOC 96  NOx 1  (raw 31089/15543)
T 27.29 C  RH 39.25 %  Light 2.1 lux  P 948.63 hPa  VOC 96  NOx 1  (raw 31096/15540)
T 27.30 C  RH 39.23 %  Light 2.0 lux  P 948.63 hPa  VOC 96  NOx 1  (raw 31092/15544)
T 27.30 C  RH 39.25 %  Light 2.1 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31096/15544)
T 27.28 C  RH 39.20 %  Light 2.1 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31099/15537)
T 27.29 C  RH 39.20 %  Light 2.0 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31103/15544)
T 27.30 C  RH 39.22 %  Light 2.0 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31094/15547)
T 27.28 C  RH 39.20 %  Light 2.0 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31097/15542)
T 27.28 C  RH 39.22 %  Light 2.0 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31080/15543)
T 27.30 C  RH 39.24 %  Light 2.0 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31102/15542)
T 27.30 C  RH 39.25 %  Light 2.0 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31099/15544)
T 27.28 C  RH 39.25 %  Light 1.9 lux  P 948.63 hPa  VOC 96  NOx 1  (raw 31085/15541)
T 27.29 C  RH 39.27 %  Light 2.0 lux  P 948.64 hPa  VOC 96  NOx 1  (raw 31097/15548)
T 27.28 C  RH 39.24 %  Light 1.9 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31090/15541)
T 27.27 C  RH 39.26 %  Light 1.9 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31109/15541)
T 27.29 C  RH 39.26 %  Light 1.9 lux  P 948.66 hPa  VOC 96  NOx 1  (raw 31097/15548)
T 27.28 C  RH 39.26 %  Light 1.9 lux  P 948.66 hPa  VOC 96  NOx 1  (raw 31102/15548)
T 27.30 C  RH 39.28 %  Light 1.9 lux  P 948.67 hPa  VOC 96  NOx 1  (raw 31113/15547)
T 27.29 C  RH 39.28 %  Light 1.9 lux  P 948.66 hPa  VOC 96  NOx 1  (raw 31105/15539)
T 27.31 C  RH 39.26 %  Light 1.9 lux  P 948.66 hPa  VOC 96  NOx 1  (raw 31101/15552)
T 27.29 C  RH 39.23 %  Light 1.8 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31115/15545)
T 27.30 C  RH 39.28 %  Light 1.8 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31101/15548)
T 27.28 C  RH 39.24 %  Light 1.9 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31100/15545)
T 27.30 C  RH 39.25 %  Light 1.9 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31103/15546)
T 27.31 C  RH 39.26 %  Light 1.8 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31106/15551)
T 27.30 C  RH 39.24 %  Light 1.8 lux  P 948.65 hPa  VOC 96  NOx 1  (raw 31115/15547)
